1995-10-01,SPLSYSHP  33.0-38.9 BTUH,149816
1995-10-01,SPLSYSHP  39.0-43.9 BTUH,66378
1995-10-01,SPLSYSHP  44.0-53.9 BTUH,57869
1995-10-01,SPLSYSHP  54.0-64.9 BTUH,45186
1995-10-01,SPLITSYS  UNDER 16.5 BTU,13875
1995-10-01,SPLITSYS  16.5-21.9 BTUH,205184
1995-10-01,SPLITSYS  22.0-26.9 BTUH,623662
1995-10-01,SPLITSYS  27.0-32.9 BTUH,600176
1995-10-01,SPLITSYS  33.0-38.9 BTUH,669126
1995-10-01,SPLITSYS  39.0-43.9 BTUH,277283
1995-10-01,SPLITSYS  44.0-53.9 BTUH,318511
1995-10-01,SPLITSYS  54.0-64.9 BTUH,250946
1995-11-01,SPLSYSHP  UNDER 16.5 BTU,6273
1995-11-01,SPLSYSHP  16.5-21.9 BTUH,86878
1995-11-01,SPLSYSHP  22.0-26.9 BTUH,182074
1995-11-01,SPLSYSHP  27.0-32.9 BTUH,169590
1995-11-01,SPLSYSHP  33.0-38.9 BTUH,163148
1995-11-01,SPLSYSHP  39.0-43.9 BTUH,72060
1995-11-01,SPLSYSHP  44.0-53.9 BTUH,62809
1995-11-01,SPLSYSHP  54.0-64.9 BTUH,49139
1995-11-01,SPLITSYS  UNDER 16.5 BTU,14546
1995-11-01,SPLITSYS  16.5-21.9 BTUH,218302
1995-11-01,SPLITSYS  22.0-26.9 BTUH,660945
1995-11-01,SPLITSYS  27.0-32.9 BTUH,632706
1995-11-01,SPLITSYS  33.0-38.9 BTUH,706710
1995-11-01,SPLITSYS  39.0-43.9 BTUH,294987
1995-11-01,SPLITSYS  44.0-53.9 BTUH,335923
1995-11-01,SPLITSYS  54.0-64.9 BTUH,265912
1995-12-01,SPLSYSHP  UNDER 16.5 BTU,6617
1995-12-01,SPLSYSHP  16.5-21.9 BTUH,93381
1995-12-01,SPLSYSHP  22.0-26.9 BTUH,198684
1995-12-01,SPLSYSHP  27.0-32.9 BTUH,183112
1995-12-01,SPLSYSHP  33.0-38.9 BTUH,176469
1995-12-01,SPLSYSHP  39.0-43.9 BTUH,78828
1995-12-01,SPLSYSHP  44.0-53.9 BTUH,68644
1995-12-01,SPLSYSHP  54.0-64.9 BTUH,53990
1995-12-01,SPLITSYS  UNDER 16.5 BTU,15472
1995-12-01,SPLITSYS  16.5-21.9 BTUH,234500
1995-12-01,SPLITSYS  22.0-26.9 BTUH,702871
1995-12-01,SPLITSYS  27.0-32.9 BTUH,666552
1995-12-01,SPLITSYS  33.0-38.9 BTUH,753582
1995-12-01,SPLITSYS  39.0-43.9 BTUH,312953
1995-12-01,SPLITSYS  44.0-53.9 BTUH,358387
1995-12-01,SPLITSYS  54.0-64.9 BTUH,284473
1996-01-01,SPLSYSHP  UNDER 16.5 BTU,572
1996-01-01,SPLSYSHP  16.5-21.9 BTUH,5950
1996-01-01,SPLSYSHP  22.0-26.9 BTUH,14612
1996-01-01,SPLSYSHP  27.0-32.9 BTUH,14078
1996-01-01,SPLSYSHP  33.0-38.9 BTUH,14367
1996-01-01,SPLSYSHP  39.0-43.9 BTUH,6523
1996-01-01,SPLSYSHP  44.0-53.9 BTUH,6177
1996-01-01,SPLSYSHP  54.0-64.9 BTUH,3980
1996-01-01,SPLITSYS  UNDER 16.5 BTU,1160
1996-01-01,SPLITSYS  16.5-21.9 BTUH,18281
1996-01-01,SPLITSYS  22.0-26.9 BTUH,51706
1996-01-01,SPLITSYS  27.0-32.9 BTUH,48837
1996-01-01,SPLITSYS  33.0-38.9 BTUH,64713
1996-01-01,SPLITSYS  39.0-43.9 BTUH,25247
1996-01-01,SPLITSYS  44.0-53.9 BTUH,25967
1996-01-01,SPLITSYS  54.0-64.9 BTUH,19541
1996-02-01,SPLSYSHP  UNDER 16.5 BTU,1087
1996-02-01,SPLSYSHP  16.5-21.9 BTUH,12105
1996-02-01,SPLSYSHP  22.0-26.9 BTUH,28031
1996-02-01,SPLSYSHP  27.0-32.9 BTUH,31006
1996-02-01,SPLSYSHP  33.0-38.9 BTUH,28367
1996-02-01,SPLSYSHP  39.0-43.9 BTUH,13302
1996-02-01,SPLSYSHP  44.0-53.9 BTUH,12485
1996-02-01,SPLSYSHP  54.0-64.9 BTUH,8597
1996-02-01,SPLITSYS  UNDER 16.5 BTU,2701
1996-02-01,SPLITSYS  16.5-21.9 BTUH,39014
1996-02-01,SPLITSYS  22.0-26.9 BTUH,115776
1996-02-01,SPLITSYS  27.0-32.9 BTUH,110399
1996-02-01,SPLITSYS  33.0-38.9 BTUH,128657
1996-02-01,SPLITSYS  39.0-43.9 BTUH,50691
1996-02-01,SPLITSYS  44.0-53.9 BTUH,53803
1996-02-01,SPLITSYS  54.0-64.9 BTUH,42032
1996-03-01,SPLSYSHP  UNDER 16.5 BTU,1575
1996-03-01,SPLSYSHP  16.5-21.9 BTUH,19404
1996-03-01,SPLSYSHP  22.0-26.9 BTUH,49184
1996-03-01,SPLSYSHP  27.0-32.9 BTUH,51109
1996-03-01,SPLSYSHP  33.0-38.9 BTUH,50380
1996-03-01,SPLSYSHP  39.0-43.9 BTUH,22676
1996-03-01,SPLSYSHP  44.0-53.9 BTUH,20495
1996-03-01,SPLSYSHP  54.0-64.9 BTUH,14738
1996-03-01,SPLITSYS  UNDER 16.5 BTU,3808
1996-03-01,SPLITSYS  16.5-21.9 BTUH,67275
1996-03-01,SPLITSYS  22.0-26.9 BTUH,207299
1996-03-01,SPLITSYS  27.0-32.9 BTUH,195514
1996-03-01,SPLITSYS  33.0-38.9 BTUH,217125
1996-03-01,SPLITSYS  39.0-43.9 BTUH,83178
1996-03-01,SPLITSYS  44.0-53.9 BTUH,91114
1996-03-01,SPLITSYS  54.0-64.9 BTUH,71397
1996-04-01,SPLSYSHP  UNDER 16.5 BTU,2354
1996-04-01,SPLSYSHP  16.5-21.9 BTUH,27231
1996-04-01,SPLSYSHP  22.0-26.9 BTUH,67022
1996-04-01,SPLSYSHP  27.0-32.9 BTUH,68104
1996-04-01,SPLSYSHP  33.0-38.9 BTUH,71273
1996-04-01,SPLSYSHP  39.0-43.9 BTUH,30314
1996-04-01,SPLSYSHP  44.0-53.9 BTUH,27393
1996-04-01,SPLSYSHP  54.0-64.9 BTUH,19951
1996-04-01,SPLITSYS  UNDER 16.5 BTU,5800
1996-04-01,SPLITSYS  16.5-21.9 BTUH,91619
1996-04-01,SPLITSYS  22.0-26.9 BTUH,281907
1996-04-01,SPLITSYS  27.0-32.9 BTUH,266810
1996-04-01,SPLITSYS  33.0-38.9 BTUH,294193
1996-04-01,SPLITSYS  39.0-43.9 BTUH,112108
1996-04-01,SPLITSYS  44.0-53.9 BTUH,123625
1996-04-01,SPLITSYS  54.0-64.9 BTUH,97264
1996-05-01,SPLSYSHP  UNDER 16.5 BTU,2986
1996-05-01,SPLSYSHP  16.5-21.9 BTUH,34527
1996-05-01,SPLSYSHP  22.0-26.9 BTUH,83070
1996-05-01,SPLSYSHP  27.0-32.9 BTUH,85217
1996-05-01,SPLSYSHP  33.0-38.9 BTUH,88619
1996-05-01,SPLSYSHP  39.0-43.9 BTUH,37643
1996-05-01,SPLSYSHP  44.0-53.9 BTUH,34179
1996-05-01,SPLSYSHP  54.0-64.9 BTUH,24472
1996-05-01,SPLITSYS  UNDER 16.5 BTU,7468
1996-05-01,SPLITSYS  16.5-21.9 BTUH,119674
1996-05-01,SPLITSYS  22.0-26.9 BTUH,378521
1996-05-01,SPLITSYS  27.0-32.9 BTUH,357608
1996-05-01,SPLITSYS  33.0-38.9 BTUH,398553
1996-05-01,SPLITSYS  39.0-43.9 BTUH,151482
1996-05-01,SPLITSYS  44.0-53.9 BTUH,166558
1996-05-01,SPLITSYS  54.0-64.9 BTUH,131137
1996-06-01,SPLSYSHP  UNDER 16.5 BTU,3481
1996-06-01,SPLSYSHP  16.5-21.9 BTUH,46580
1996-06-01,SPLSYSHP  22.0-26.9 BTUH,107962
1996-06-01,SPLSYSHP  27.0-32.9 BTUH,108281
1996-06-01,SPLSYSHP  33.0-38.9 BTUH,108885
1996-06-01,SPLSYSHP  39.0-43.9 BTUH,46878
1996-06-01,SPLSYSHP  44.0-53.9 BTUH,42724
1996-06-01,SPLSYSHP  54.0-64.9 BTUH,31258
1996-06-01,SPLITSYS  UNDER 16.5 BTU,8939
1996-06-01,SPLITSYS  16.5-21.9 BTUH,154873
1996-06-01,SPLITSYS  22.0-26.9 BTUH,494178
1996-06-01,SPLITSYS  27.0-32.9 BTUH,471653
1996-06-01,SPLITSYS  33.0-38.9 BTUH,515073
1996-06-01,SPLITSYS  39.0-43.9 BTUH,196558
1996-06-01,SPLITSYS  44.0-53.9 BTUH,218408
1996-06-01,SPLITSYS  54.0-64.9 BTUH,168811
1996-07-01,SPLSYSHP  UNDER 16.5 BTU,4045
1996-07-01,SPLSYSHP  16.5-21.9 BTUH,52472
1996-07-01,SPLSYSHP  22.0-26.9 BTUH,123512
1996-07-01,SPLSYSHP  27.0-32.9 BTUH,127037
1996-07-01,SPLSYSHP  33.0-38.9 BTUH,126570
1996-07-01,SPLSYSHP  39.0-43.9 BTUH,56608
1996-07-01,SPLSYSHP  44.0-53.9 BTUH,49579
